STATE,CLINTON,TRUMP,,,,,,,,,,,,,,,
Alabama,0.34,0.62,,,,,,,,,,,,,,,
Alaska,0.37,0.51,,,,,,,,,,,,,,,
Arizona,0.45,0.49,,,,,,,,,,,,,,,
Arkansas,0.34,0.61,,,,,,,,,,,,,,,
California,0.62,0.32,,,,,,,,,,,,,,,
Colorado,0.48,0.43,,,,,,,,,,,,,,,
Connecticut,0.55,0.41,,,,,,,,,,,,,,,
Delaware,0.53,0.42,,,,,,,,,,,,,,,
D.C.,0.91,0.04,,,,,,,,,,,,,,,
Florida,0.48,0.49,,,,,,,,,,,,,,,
Georgia,0.46,0.51,,,,,,,,,,,,,,,
Hawaii,0.62,0.30,,,,,,,,,,,,,,,
Idaho,0.27,0.59,,,,,,,,,,,,,,,
Illinois,0.56,0.39,,,,,,,,,,,,,,,
Indiana,0.38,0.57,,,,,,,,,,,,,,,
Iowa,0.42,0.51,,,,,,,,,,,,,,,
Kansas,0.36,0.57,,,,,,,,,,,,,,,
Kentucky,0.33,0.63,,,,,,,,,,,,,,,
Louisiana,0.38,0.58,,,,,,,,,,,,,,,
Maine,0.48,0.45,,,,,,,,,,,,,,,
Maryland,0.60,0.34,,,,,,,,,,,,,,,
Massachusetts,0.60,0.33,,,,,,,,,,,,,,,
Michigan,0.47,0.48,,,,,,,,,,,,,,,
Minnesota,0.46,0.45,,,,,,,,,,,,,,,
Mississippi,0.40,0.58,,,,,,,,,,,,,,,
Missouri,0.38,0.57,,,,,,,,,,,,,,,
Montana,0.36,0.56,,,,,,,,,,,,,,,
Nebraska,0.34,0.59,,,,,,,,,,,,,,,
Nevada,0.48,0.46,,,,,,,,,,,,,,,
New Hampshire,0.47,0.46,,,,,,,,,,,,,,,
New Jersey,0.55,0.41,,,,,,,,,,,,,,,
New Mexico,0.48,0.40,,,,,,,,,,,,,,,
New York,0.59,0.37,,,,,,,,,,,,,,,
North Carolina,0.46,0.50,,,,,,,,,,,,,,,
North Dakota,0.27,0.63,,,,,,,,,,,,,,,
Ohio,0.44,0.52,,,,,,,,,,,,,,,
Oklahoma,0.29,0.65,,,,,,,,,,,,,,,
Oregon,0.50,0.39,,,,,,,,,,,,,,,
Pennsylvania,0.47,0.48,,,,,,,,,,,,,,,
Rhode Island,0.54,0.39,,,,,,,,,,,,,,,
South Carolina,0.41,0.55,,,,,,,,,,,,,,,
South Dakota,0.32,0.62,,,,,,,,,,,,,,,
Tennessee,0.35,0.61,,,,,,,,,,,,,,,
Texas,0.43,0.52,,,,,,,,,,,,,,,
Utah,0.27,0.46,,,,,,,,,,,,,,,
Vermont,0.57,0.30,,,,,,,,,,,,,,,
Virginia,0.50,0.44,,,,,,,,,,,,,,,
Washington,0.53,0.37,,,,,,,,,,,,,,,
West Virginia,0.26,0.69,,,,,,,,,,,,,,,
Wisconsin,0.46,0.47,,,,,,,,,,,,,,,
Wyoming,0.22,0.68,,,,,,,,,,,,,,,
Total Percentage of Popular Vote:,,,,,,,,,,,,,,,,,
,0.48,0.46,,,,,,,,,,,,,,,
